scope,config,mode,instruments,eligible,positive_net,positive_gross,positive_common,median_cagr,median_drawdown,median_full_return,thin_samples,exhausted,trades,channel_exits,initial_exits,trailing_exits
Priority assets,initial_trailing-e20-x20-i3-t4,short,60,60,2,2,2,-0.07434509118268062,-0.5580022932513062,-0.5026475166117574,1,0,2032,0,547,1485
Priority assets,initial_trailing-e55-x20-i2-t3,both,60,60,18,25,19,-0.012713189614126874,-0.38213617749651463,-0.14904784204900223,0,0,3428,0,1026,2402
Priority assets,initial_trailing-e55-x20-i2-t3,long,60,60,44,51,44,0.011102937812925595,-0.21178502326006016,0.11521854592739855,1,0,2216,0,584,1632
Priority assets,initial_trailing-e55-x20-i2-t3,short,60,60,4,8,4,-0.03741992127520932,-0.3828881929556376,-0.33170960829494545,2,0,1212,0,442,770
Priority assets,initial_trailing-e55-x20-i2-t4,both,60,60,25,36,29,-0.0005734094903164233,-0.3783386783437986,-0.04762384918552315,1,0,2840,0,1282,1558
Priority assets,initial_trailing-e55-x20-i2-t4,long,60,60,46,53,47,0.01973463962069677,-0.21390771965117572,0.17529527019947333,1,0,1756,0,684,1072
Priority assets,initial_trailing-e55-x20-i2-t4,short,60,60,4,13,4,-0.04004494122970398,-0.40959936524425594,-0.34932095789533,2,0,1084,0,598,486
Priority assets,initial_trailing-e55-x20-i3-t3,both,60,60,18,27,22,-0.014037453471561268,-0.39036798203018236,-0.1459323406079796,0,0,3285,0,63,3222
Priority assets,initial_trailing-e55-x20-i3-t3,long,60,60,43,50,43,0.011564180267329527,-0.21453174454184154,0.13728381940767154,1,0,2120,0,25,2095
Priority assets,initial_trailing-e55-x20-i3-t3,short,60,60,2,8,2,-0.03848124553861576,-0.39065361854671465,-0.3321139024006246,2,0,1165,0,38,1127
Priority assets,initial_trailing-e55-x20-i3-t4,both,60,60,28,36,30,0.0006530722315046256,-0.39295830728657444,-0.01103350404654957,0,0,2561,0,526,2035
Priority assets,initial_trailing-e55-x20-i3-t4,long,60,60,50,55,52,0.022874890638627354,-0.23773641446981814,0.2964535877246782,1,0,1573,0,257,1316
Priority assets,initial_trailing-e55-x20-i3-t4,short,60,60,2,10,4,-0.04395639174071858,-0.43545983673421684,-0.3472530973530553,2,0,988,0,268,720
Priority assets,initial_trailing-e200-x20-i2-t3,both,60,60,31,40,31,0.0009270328847426068,-0.27725534660767326,0.009160498538535289,0,0,1949,0,534,1415
Priority assets,initial_trailing-e200-x20-i2-t3,long,60,60,41,49,41,0.00766140847774488,-0.165541970828958,0.07799191196072619,1,0,1520,0,401,1119
Priority assets,initial_trailing-e200-x20-i2-t3,short,60,60,10,17,10,-0.010506444833590867,-0.2135379998455611,-0.09869782935938742,12,0,429,0,133,296
Priority assets,initial_trailing-e200-x20-i2-t4,both,60,60,39,43,39,0.007739721872319971,-0.2852254823093951,0.07884208039599794,1,0,1571,0,665,906
Priority assets,initial_trailing-e200-x20-i2-t4,long,60,60,50,53,50,0.012468933592617137,-0.1736011459712326,0.11520192187262357,1,0,1198,0,465,733
Priority assets,initial_trailing-e200-x20-i2-t4,short,60,60,12,17,12,-0.009802825736766885,-0.21323328217051812,-0.09237879536514482,18,0,373,0,200,173
Priority assets,initial_trailing-e200-x20-i3-t3,both,60,60,32,41,32,0.001411648811771915,-0.2752171821760862,0.01163957248848202,1,0,1861,0,28,1833
